原文	訂正	個別評価	評価
そして、高校を卒業した後で、家庭教師の仕事をやり始めた。	そして、高校を卒業した後で、家庭教師の仕事をやり始めた。	"4,4,4"	4.0
朝から雨をふります。	朝から雨がふります。	"4,4,4"	4.0
なぜ人間はそんなにひどいことをしましたか。	なぜ人間はそんなにひどいことをしたのでしょうか。	"4,3,4"	3.6666666666666665
父と母が別々にマンションを持っています。	父と母が別々にマンションを持っています。	"4,4,4"	4.0
もう三年になった、この時間とは長くではなかった。	もう三年になった、この時間とは長くはなかった。	"4,4,3"	3.6666666666666665
今晩、私と妹は一緒に地球村（塾の名前）へ授業を受けました。	今晩、私と妹は一緒に地球村（塾の名前）へ授業を受けました。	"4,4,4"	4.0
人生はどこからいつでも、再スタートできる。	人生はどこからでも、再スタートできる。	"4,3,2"	3.0
国によって言葉が違うけど、同じことに対する気持ちは同じなのだ。	国によって言葉は違うけど、同じことに対する気持ちは同じなのだ。	"4,4,4"	4.0
私のはっぴょう	私の発表発表発表	"1,2,1"	1.3333333333333333
今日のいい気分を全部乱された。	今日のいい気分を全部吹き飛ばされた。	"3,3,1"	2.3333333333333335
最初には、イタリアをあちこち旅行しながら言葉を全ての機会で使って、人と話したりしてどんどんぺらぺらのようになりました。	最初は、イタリアをあちこち旅行しながら言葉を全ての機会で使って、人と話したりしてどんどんぺらぺらのようになりました。	"3,3,2"	2.6666666666666665
今日の午後にフランス語の授業を聞きに行きました。	今日の午後にフランス語の授業を聞きに行きました。	"4,4,4"	4.0
だから、準備したら、必ず次の国語の試験にうまくできます。	だから、準備したら、必ず次の国語の試験はうまくできます。	"3,4,4"	3.6666666666666665
３９歳、男性、結婚しています。	３９歳、男性が結婚しています。	"2,3,2"	2.3333333333333335
だから、怪我が治せれば、明日いっしょに行くつもりです。	だから、怪我がなければ、明日いっしょに行くつもりです。	"2,3,4"	3.0
そして、工学に選考しったら、３１－３３さいごろ終わりますね。	そして、工学に選考したら、３１－３３さいごろ終わりますね。	"3,4,4"	3.6666666666666665
でも、先生と話すとき、時々話せませんね～	でも、先生と話すとき、時々話せませんね～	"2,3,3"	2.6666666666666665
この出来事はたくさん習い事があるものだと思います。	この出来事はたくさん習い事があるものだと思います。	"4,4,4"	4.0
話し能力を増して強くなりたいだけではなく、書き能力も上手になりたいと思う。	話す能力を増やして強くなりたいだけではなく、書く能力も上手になりたいと思う。	"4,4,4"	4.0
はじめまして。	はじめまして。	"4,4,4"	4.0
電車の乗り換えは一回、全部四十五分ぐらいが掛かる！	電車の乗り換えは一回、全部四十五分ぐらいが掛かる！	"4,4,4"	4.0
二年生の時に、先生の調整で全然勉強たくなかった、あの後、日本語に心から興味をすっかり持っていなった。	二年生の時に、先生の調整で全然勉強たくなかった、その後、日本語に心から興味をすっかり持っなかった。	"2,2,2"	2.0
「Listening」は私の弱い点ですから、もっと習わなければなりめせんよ。	「mygod」は私の弱い点ですから、もっと習わなければなりませんよ。	"1,1,1"	1.0
ジャズは魅力的で、それはインスタンタネす？	ジャズは魅力的で、それはインスタンタネす？	"1,2,4"	2.3333333333333335
ただ今家へ帰った、すぐシーアーを浴びた。	ただ今家へ帰った、すぐシーアーを浴びた。	"4,4,4"	4.0
そして、中国の法律にそくして言うと、常住人口登録カードの住所が違うことが許可されています。	そして、中国の法律に即して言うと、温かみ人口登録カードの住所が違うことが許可されています。	"1,2,1"	1.3333333333333333
それが終わってカットしたいと思って美容院へ行ったけど予約を取ってなかったせいでせっかく歩いて行ったのに明日するようになった。	それが終わってカットしたいと思って美容院へ行ったけど予約を取ってなかったせいでせっかく歩いて行ったのに明日することになった。	"4,4,4"	4.0
明日、勉強しって、たいて、そうじしましゅ。	明日、勉強して、たいて、そうじします。	"4,4,4"	4.0
黒い髪の毛があってイタリア語を話す時に人はイタリア人だと思ったこともあります。	黒い髪の毛があってイタリア語を話す時に人はイタリア人だと思ったこともあります。	"4,4,4"	4.0
一つ目は日記を書くことを私の普通の習慣の一つを培いたいです。	一つ目は日記を書くことを私の普通の習慣の一つを変えたいです。	"1,2,1"	1.3333333333333333
私たちは今日もたいつもの曲がり角のコーヒーショップに集まる。	私たちは今日またいつもネットのコーヒーショップに集まる。	"1,1,1"	1.0
寝る前にテレビの番組を見ました。	寝る前にテレビ番組を見ました。	"3,3,4"	3.3333333333333335
私は一日何回も聞いたり、歌ったりしています。	私は一日に何回も聞いたり、歌ったりしています。	"4,3,4"	3.6666666666666665
そのとき、突然、やっばりよく勉強して、よい仕事をすると感じがある。	そのとき、突然、やっばりよく勉強して、よい仕事をする感じがする。	"3,4,4"	3.6666666666666665
ワーキングホリデー	ワーキングホリデー	"2,3,3"	2.6666666666666665
しかも、レストランやフードコートがいっぱいあるから、おいしい食事を満喫できる上、シンガポリアンの生活を体験することができます。	しかも、レストランやフードコートがいっぱいあるから、おいしい食事を満喫できる上、エンターテインメントの生活を体験することができます。	"1,1,1"	1.0
それからインディアンのレスに食べた。	それからインディアンのレスで食べた。	"4,4,4"	4.0
九月までたくさん終えなくてはならないから、　来日はきっと早くきます！	九月までたくさん終えなくてはならないから、　来日はきっと早くきます！	"2,3,3"	2.6666666666666665
もちろん、同じ年齢の友達となかよしするために、日本の教会ははまらないらしいです。	もちろん、同じ年齢の友達と仲良くするために、日本の教会は理解できないらしいです。	"1,2,1"	1.3333333333333333
そして、感謝の気持ちを持っていて、笑顔で「ありがとう」と伝えましょう。	そして、感謝の気持ちを持って、笑顔で「ありがとう」と伝えましょう。	"4,4,4"	4.0
回復	回復	"2,3,3"	2.6666666666666665
なぜかというと、こんなひどい悲劇の連続を体験したことはないからです。	なぜかというと、こんなひどい悲劇の連続を体験したことはないからです。	"4,4,4"	4.0
信じていれば夢は叶うもの♥◡♥	信じていれば夢は叶うもの♥◡♥	"2,3,3"	2.6666666666666665
前好きだったあの娘(ヨーちゃん)も俺の友達と同じ学校で交換留学生をやってる。	前好きだったあの娘(ヨーロッパちゃん)も俺の友達と同じ学校で交換留学生をやってる。	"1,2,1"	1.3333333333333333
その色は深い海の底の青いに近いと思う。	その色は深い海の底の青いに近いと思う。	"2,3,4"	3.0
1杯だけ足りません、じゃ、もう1杯、やはり無理です。	1杯だけでは足りません、じゃ、もう1杯、やはり無理です。	"2,4,4"	3.3333333333333335
電車の乗り換えは一回、全部四十五分ぐらいが掛かる！	電車の乗り換えは一回で、全部四十五分ぐらい掛かる！	"2,3,4"	3.0
最近近所の図書館が改築のために閉じて、あの図書館の利用者はここに来るので、私たちは特に忙しいです。	最近近所の図書館が改築のために閉じて、あの図書館の利用者がここに来るので、私たちは特に忙しいです。	"4,4,4"	4.0
でもこのニ三日の忙しさはああいう考えをさせる時間を埋めてしまった。	でもこのニ三日間の忙しさはああいう考えをさせる時間を埋めてしまった。	"4,3,3"	3.3333333333333335
留学生ですから日本語をたくさん勉強している。	留学生なので日本語をたくさん勉強している。	"4,3,3"	3.3333333333333335
ほかの国にはどうするかよく分からないんですが、アメリカには図書館で普通の声に話していいでうちの図書館はにぎやかな場合です。	ほかの国ではどうするかよく分からないんですが、アメリカの図書館では普通の声に話していいでうちの図書館はにぎやかな場合です。	"4,2,2"	2.6666666666666665
何年も前、本当に一階の図書館の励ましてくれた本に熱中しちゃった。	何年も前、本当に一階の図書館を励ましてくれた本に熱中しちゃった。	"1,4,4"	3.0
クラスでいつもアゲハさんと話しかけます。	クラスでいつもTargetさんと話しかけます。	"1,1,1"	1.0
静かなこのときに、なんと意外にもちょっと興奮する気がしますね。	静かなこのときに、なんと意外にもちょっと興奮する気がしますね。	"4,4,4"	4.0
（こういうわけで、今も日本語で書き込みをしてますｗ）	（こういうわけで、今も日本語で書き込みをしてますｗ）	"4,3,3"	3.3333333333333335
今年こそ、夢を叶え！！！	今年こそ、夢を叶えます！！！	"4,4,3"	3.6666666666666665
月曜日に運転のコースに入ろうと持っています。	月曜日に運転のコースに入ろうと思っています。	"1,4,4"	3.0
今週に英語の話すときは間違えは多い。	今週、英語の話すときは間違いが多い。	"2,3,4"	3.0
一つ目は日記を書くことを私の普通の習慣の一つを培いたいです。	一つ目は日記を書くことを私の普通の習慣の一つを弾きたいです。	"1,2,1"	1.3333333333333333
Serangoon Gardensでは駅がありませんが、今開通している環状線の駅に近いです。	彼らor彼女では駅がありませんが、今開通している環状線の駅に近いです。	"1,1,1"	1.0
試験の後、名前を忘れた回転寿司レストランに行った。	試験の後、名前を忘れた回転寿司レストランに行った。	"4,4,4"	4.0
しかし、オーストラリアから日本より、入学試験は少し簡単です。	しかし、オーストラリアからの日本語より、入学試験は少し簡単です。	"1,2,1"	1.3333333333333333
学校の授業にも一応傍聴生として聞きにいったが、先生の話しのスピードはうちの学校の先生の２倍だった。	学校の授業にも一応傍聴生として聞きにいったが、先生の話しのスピードはうちの学校の先生の２倍だった。	"4,4,4"	4.0
この間に、ドラッグはだんだんもっと不法で危なくに見られる。	この間に、ドラッグはだんだんもっと不法で危なく見られる。	"4,4,4"	4.0
それから　アメリカ人のほうがもっと直接に言います。	それから　アメリカ人のほうがもっと直接に言います。	"2,3,3"	2.6666666666666665
それで、全員の政治家が保守的ようで、ドラッグを禁じるべきだと考える。	それで、全員の政治家が保守的ようで、ドラッグを禁止べきだと考える。	"2,3,2"	2.3333333333333335
最近の日記はオートバイを乗ることについてたくさんかけるかもしれません。	最近の日記はオートバイに乗ることについてたくさんかけるかもしれません。	"4,4,4"	4.0
渋谷の大きダンスクラブに行った。	渋谷の大きダンスクラブに行った。	"2,2,4"	2.6666666666666665
携帯はだんだんコンピュータのようになっていたので、辞典や電卓など使用する。	携帯はだんだんコンピュータのようになっていたので、辞典や電卓などを使用する。	"4,3,3"	3.3333333333333335
クラスでいつもアゲハさんと話しかけます。	クラスでいつもアゲハさんと話しかけます。	"4,4,4"	4.0
どんどん聞いてきた言葉は日本語だけど、その時主人公の持ちがどんな国の人だって解かると思う。	どんどん聞いてきた言葉は日本語だけど、その時主人公の持ちがどんな国の人だって解かると思う。	"2,4,2"	2.6666666666666665
だから、その結末はいいではないせすか。	だから、その結末はいいではないでしょうか。	"4,4,4"	4.0
でも今日の仕事は大変なので、休みの時間があまりなかった、体にもど良くなかった。	でも今日の仕事は大変だったので、休みの時間があまりなかった、体にもど良くなかった。	"3,2,2"	2.3333333333333335
毎日自動車教習所で行っています。	毎日自動車教習所で行っています。	"4,3,4"	3.6666666666666665
これからもよろしくお願いします。	これからもよろしくお願いします。	"4,4,4"	4.0
そして旅行なから、たくさん文化を習いました。	そして旅行なので、たくさん文化を習いました。	"2,4,4"	3.3333333333333335
獣医になるできなければ、私は生物学者になりたいです。	獣医になることができれば、私は生物学者になりたいです。	"1,2,1"	1.3333333333333333
小さな時、私は日本人の性格が好きだから日本語がすきだ。	小さい時、私は日本人の性格が好きだったから日本語がすきだった。	"4,3,4"	3.6666666666666665
確かに、僕も面白い経験を持っているのは楽します。	確かに、僕も面白い経験を持っているのは楽しい。	"4,4,4"	4.0
失業はストレスによると自殺が含まれていた。	失業率によると自殺が含まれていた。	"1,2,1"	1.3333333333333333
中学生の時、教壇の下に座っている先生に聞いている私は、いつも「もし私が教えたら、クラスメートはたぶん聞きやすくなる」と思った。	中学生の時、教壇の下に座っている先生に聞いていた私は、いつも「もし私が教えたら、クラスメートはたぶん聞きやすくなる」と思った。	"4,4,4"	4.0
今夜は新年のための待ち合わせの予定だから、プレゼントを持っていけなくてはいけないんです。	今夜は新年の待ち合わせの予定だから、プレゼントを持っていかなくてはいけないんです。	"4,4,3"	3.6666666666666665
一番賢い方法じゃなくて、毎日毎日続けていて勉強したら効果があると思います。	一番賢い方法じゃなくて、毎日毎日続けて勉強したら効果があると思います。	"4,3,4"	3.6666666666666665
自分の家族や友達や仲間も考えて下さい。	自分の家族や友達や仲間も考えて下さい。	"4,4,4"	4.0
漫画が可愛いですから好きです。	漫画が可愛いですから好きです。	"4,4,4"	4.0
間もなく明治維新のあとで各自の日本人に名字をあらせました。	間もなく明治維新のあとで各自の日本人に名字を交換しました。	"1,2,1"	1.3333333333333333
そうではないかもしれないが、私にとって、大きな影響をさせてくれた先生たちはずっと重要な存在である。	そうではないかもしれないが、私にとって、大きな影響をさせてくれた先生たちはずっと重要な存在である。	"2,4,4"	3.3333333333333335
多分、国語にもっと勉強しなければなりません。	多分、国語ももっと勉強しなければなりません。	"4,4,4"	4.0
学校の授業にも一応傍聴生として聞きにいったが、先生の話しのスピードはうちの学校の先生の２倍だった。	学校の授業でも一応傍聴生として聞きにいったが、先生の話しのスピードはうちの学校の先生の２倍だった。	"3,4,4"	3.6666666666666665
今日、テレビのニュースを見たとき、”今日は日本のカレーの日”の見出しを発見しました。	今日、テレビのニュースを見たとき、”今日は日本のカレーの日”の見出しを発見しました。	"4,4,4"	4.0
僕が通っていた高校は、オーストラリアのメルボルンの「Melbourne High School」だ。	僕が通っていた高校は、オーストラリアのメルボルンの「MelbourneHighSchool」だ。	"1,2,1"	1.3333333333333333
今日は英語授業で日本人同級生がめまいがして倒れた。	今日は英語の授業で日本人同級生がめまいをして倒れた。	"3,4,3"	3.3333333333333335
今公立図書館で働いているけど、この先大学の図書館にいました。	今公立図書館で働いているけど、この先大学の図書館にいます。	"3,3,3"	3.0
自身の長所というと、自分以外の人々しかわからないと時々思う。	自身の長所はというと、自分以外の人々しかわからないと時々思う。	"4,3,4"	3.6666666666666665
動物の名前オランダ語でとか。	動物の名前はオランダ語でとか。	"4,3,3"	3.3333333333333335
友達は私の日記を直させてしまってと思いました。	友達は私の日記を直させてしまっと思いました。	"2,2,4"	2.6666666666666665
(びっくりした！)	(びっくりしました！)	"3,3,3"	3.0
たくさん日本人は血液型が性格を影響するのを信じている。	たくさん日本人は血液型が性格を影響するのを信じている。	"2,4,2"	2.6666666666666665
実は初めて回転寿司に行っていた。	実は初めて回転寿司に行きました。	"4,3,3"	3.3333333333333335
大体歩いたりバスに乗ったりして30分以内で学校に到着します。	大体歩いたりバスに乗ったりして30分以内に学校に到着します。	"3,4,4"	3.6666666666666665
イテオンはいろいろな外国から人たちで有名だ。	イテオンはいろいろな外国から人たちで有名だ。	"2,4,2"	2.6666666666666665
やっと故郷に帰った。	やっと故郷に帰れた。	"3,3,3"	3.0
今、各自の日本人は名字があります。	今、各自の日本人には名字があります。	"3,3,3"	3.0
僕が通っていた高校は、オーストラリアのメルボルンの「Melbourne High School」だ。	僕が通っていた高校は、オーストラリアのメルボルンの「ばかり」だ。	"1,1,1"	1.0
後で、Boodayの店へ行きました、美味いチッコレートケーキを食べました。	後で、感じるピザの店へ行きました、美味いを食べました。	"1,1,1"	1.0
いつまでも友達はどこかいくのが分からないとき、ここへ来たがります	いつまでも友達はどこへいくのか分からないとき、ここへ来たがります	"3,3,3"	3.0
調べたり確認したりした方がより賢明な選択だと思う。	調べたり確認したりした方が賢明な選択だと思う。	"3,3,3"	3.0
私は一番好きのは日本語学科の卒業出演でした。	私が一番好きなのは日本語学科の卒業式でした。	"1,3,1"	1.6666666666666667
今年過ぎだら、私は楽になりますね！	今年過ぎたら、私は楽になります！	"3,3,3"	3.0
ぐるぐる回るみたいけど、私の意見はこれだ。	ぐるぐる回るみたいけど、私の意見はこれだ。	"2,4,4"	3.3333333333333335
私が読書しているところ、空がだんだん暗くなって行く。	私が読書しているところ、空がだんだん暗くなって行く。	"2,4,4"	3.3333333333333335
ほかの県で就学する人もありますが、通勤時間が随分かかるそうです。	ほかの県で就学する人もいますが、通勤時間が随分かかるそうです。	"4,4,4"	4.0
もし決めたら、是非先生に教えてあげます。	もし決めたら、是非先生に教えてあげます。	"4,4,4"	4.0
今日の日記を簡潔に書きます。	今日の日記は簡潔に書きます。	"3,3,3"	3.0
１２時半ごろ着くところの時父は僕に電話をかけて、家から駅までの距離が遠いので、送ってくれた。	１２時半ごろ着いた時父は僕に電話をかけて、家から駅までの距離が遠いので、送ってくれた。	"2,4,4"	3.3333333333333335
その上、店長さんが奢ってくれたの。	その上、店長さんが奢ってくれたの。	"4,4,4"	4.0
僕の部屋にACを買い備えたいが、電気代は高すぎるから、買うことはわけないのです。	僕の部屋でACを買いたいが、電気代は高すぎるから、買うことはできないのです。	"4,4,4"	4.0
先週教会で興味深い説教を聞きました。	先週教会で興味深い説教を聞きました。	"4,4,4"	4.0
今日、楽しかった	今日は楽しかった	"3,3,3"	3.0
それから、友達でレストランにビールを飲みました。	それから、友達とレストランでビールを飲みました。	"4,4,4"	4.0
れいぞうこのうえにれいとうこがあります。	れいぞうこのうえに捨てこがあります。	"1,1,1"	1.0
それは文化と民族に縛られることはないのだから。	それは文化と民族に縛られることはないからだ。	"3,3,4"	3.3333333333333335
大勢に従う人や気に入るものがあっても何も変わりたくない人を避けようとしています。	大勢に従う人や気に入るものがあっても何も変わりたくない人を避けようとしています。	"4,4,4"	4.0
だれが住んでいる村か町の名前を使ったが、働いている店か職場の名前を使ったが、だれか考え付くのでした。	だれが住んでいる村か町の名前を使ったが、働いている店か職場の名前を使ったが、だれか考え付くのでした。	"2,4,2"	2.6666666666666665
日本人の本音と建前というのは非常に分かりにくいことです。	日本人の本音と建前というのは非常に分かりにくいことです。	"4,4,4"	4.0
それから真面目に半学期の時間がかかって、幸い、成績が上がってきった。	それから真面目に半学期の時間がかかって、幸い、成績が上がった。	"4,4,4"	4.0
露天温泉に入って、すごい気持ち、やはり日本の温泉が最高です。	露天温泉に入ると、すごい気持ち、やはり日本の温泉が最高です。	"4,4,4"	4.0
飯石ょうに版ごはんを食べます、でもすぎの朝バやドリドへ帰ります。	ますょうには、ごはんを食べます、でも次の朝バやふろへ帰ります。	"1,1,1"	1.0
対戦型格闘ゲームするとき、勝ちになれなくて、怒るになります。	対戦型格闘ゲームするとき、勝ちになれなくて、怒るになります。	"2,2,4"	2.6666666666666665
事実上は私もこのよう様の性格を持っているようですけど、怠けないときに自分の性格を抑えます。	実際は私もこのような性格を持っているようですけど、怠けないときに自分の性格を抑えます。	"4,4,3"	3.6666666666666665
初詣、ラーメン、屋台、お好み焼き、牛丼、ファミレス、全部日本本場そのもの体験したよ！	初詣、ラーメン、屋台、お好み焼き、牛丼、ファミレス、全部日本本場そのもの体験したよ！	"2,3,4"	3.0
やっと中間試験が終わった	やっと中間試験が終わった	"2,3,3"	2.6666666666666665
火曜日の授業の間に事件がもう一つ起こった。	火曜日の授業の間に事件がもう一つ起こった。	"4,4,4"	4.0
先生の2010年もとても良い一年になることを祈っています。	先生の2010年がとても良い一年になることを祈っています。	"4,4,3"	3.6666666666666665
先週は二回とも英語授業をしませんでした。	先週は二回とも英語授業をしませんでした。	"4,4,4"	4.0
簡単にするに創造した言語だから幾つかの月分かることに掛かります。	簡単に創造した言語だから幾つかの月分かることに掛かります。	"1,3,3"	2.3333333333333335
自分は長所がないのようにして、そうしたら、自分の存在を否定したかもしれないが、自身を否定するこそ自分はもっと立派になるのではないだろうか。	自分は長所がないようにして、そうしたら、自分の存在を否定したかもしれないが、自身を否定するこそ自分はもっと立派になるのではないだろうか。	"2,4,2"	2.6666666666666665
残念だね...	残念だね...	"2,3,3"	2.6666666666666665
だれが住んでいる村か町の名前を使ったが、働いている店か職場の名前を使ったが、だれか考え付くのでした。	だれが住んでいる村か町の名前を使ったが、働いている店か職場の名前を使ったが、だれかのでした。	"1,2,1"	1.3333333333333333
おもしろくて教わることがたくさんあります。	おもしろくて教わることがたくさんあります。	"4,4,4"	4.0
絶対また行くぞ！	絶対また行きますよ！	"3,3,3"	3.0
九月から、教室を開催します。	九月から、教室を開催します。	"4,4,4"	4.0
私は国へ帰りたくないですから。	私は国へ帰りたくないです。	"3,3,4"	3.3333333333333335
もしこの経験はありませんでしたら、独立感じがわからないでしょう。	もしこの経験はありませんでしたら、独立感じがわからないでしょう。	"2,3,4"	3.0
いまの会社はみんなぶらぶらと毎日を過ごす感じです。	いまの会社はみんなぶらぶらして毎日を過ごす感じです。	"3,3,3"	3.0
どちらもいい所があるけど、僕は林原めぐみの演奏がとても好きです。	どこもいい所があるので、僕はしまうめぐみの演奏がとても好きです。	"1,1,1"	1.0
その問題の上にも、「禁じるドラッグを使う人にどうしようか」の質問だ。	その問題の上にも、「禁じを使う人はどうしようか」の質問だ。	"1,1,1"	1.0
自分の場合なら、ほんとうにそういう友達が好きだったら、	自分の場合、ほんとうにそういう友達が好きだったら、	"3,3,3"	3.0
テストの内容が偽装、汚職、天下りについて。	テストの内容は偽装、汚職、Targetについて。	"1,1,1"	1.0
オーストラリアでは，人は生涯に何度も職や会社を変えるのが極めて普通であります。	オーストラリアでは，人は生涯に何度も職や会社を変えるのが極めて普通であります。	"4,4,4"	4.0
初詣、ラーメン、屋台、お好み焼き、牛丼、ファミレス、全部日本本場そのもの体験したよ！	初詣、ラーメン、屋台、お好み焼き、牛丼、サポーター、全部日本で本場そのものを体験したよ！	"1,1,1"	1.0
今日の朝は雨が止めました、仕事に行く途中、熱くなりました。	今日の朝は雨が止みました、仕事に行く途中、熱くなりました。	"2,4,4"	3.3333333333333335
悲劇だけど、その演技は上手と思いました。	悲劇だけど、その演技は上手と思いました。	"4,3,4"	3.6666666666666665
この論文に失業の原因と解決を検討します。	この論文における失業の原因と解決を検討します。	"2,2,4"	2.6666666666666665
自由に飛んで、どこでも行けます。	自由に飛んで、どこでも行けます。	"4,4,4"	4.0
あんの時、本当にお役に立ったんだって。	それは、本当にお役に立ったんだって。	"1,2,3"	2.0
楽しかったあ後で怒った	楽しかったあ後で怒った	"2,3,2"	2.3333333333333335
悔しいことに、家に帰ったら、勉強のことも昔の友達との連絡も少なくて、日差しが強いか雨が降るかいろんな理由を使って、家に閉じこまるほうが好きだといい過ぎじゃないほどだ。	悔しいことに、家に帰ったら、勉強のことも昔の友達との連絡も少なくて、日差しが強いか雨が降るかいろんな理由を使って、家に閉じこまったほうが好きだといい過ぎないほどだ。	"2,2,2"	2.0
私にとってゆめみたい仕事です	私にとって書きたい仕事です	"1,2,1"	1.3333333333333333
例えば、東方神起の「Purple Line」という歌では、「I really wanna touch myself」というかしがあります。	例えば、東方神起の「Ｄｏｍｉｎｏ」という歌では、「Ireallywanna挺挺」というかしがあります。	"1,1,1"	1.0
立て、外へ散歩に出て、足腰を伸ばす良いと思います。	立て、外へ散歩に出て、足腰を伸ばす良いと思います。	"2,2,4"	2.6666666666666665
それは本気に言うのが判断できませんよね。	それは本気に言うのが判断できませんよね。	"2,4,4"	3.3333333333333335
車に乗るのは本当に便利だと思います。	車に乗るのは本当に便利だと思います。	"4,4,4"	4.0
今、会話の先生を換えった沈先生で、きびしい要求で、もちろん他の先生も、どう話すがわからなかった、どうせ、私の大学の生活がすっかり学生の生活らしい学生の生活を回復した。	今、会話の先生を換えった沈先生で、きびしい要求で、もちろん他の先生も、どう話すがわからなかった、どうせ、私の大学の生活がすっかり学生の生活らしい学生の生活を回復した。	"2,4,2"	2.6666666666666665
（テストの写真が付いてあります。	（テストの写真が付いてあります。	"4,4,4"	4.0
この三年間の日本語学習につれて、いろいろなドラマを見ました。	この三年間の日本語学習で、いろいろなドラマを見ました。	"4,4,4"	4.0
確かに、日本にはいろいろすばらしいドラマがあります。	確かに、日本にはいろいろなすばらしいドラマがあります。	"3,3,3"	3.0
他のアルバイトを捜します～	他のアルバイトを探します～	"3,3,3"	3.0
楽しみだよ！	楽しみだよ！	"4,4,4"	4.0
（日本で、相談役・顧問だったら、ちょっとあやしそうですか？）ところで、お父さんによると、VIC州に、大蔵のある社員はしばしば民間の金融企業に就職するそうだ。	（日本で、相談役・顧問だったら、ちょっとでしょ？）ところで、お父さんによると、VIC州ではしばしば民間の金融企業に就職するそうだ。	"1,2,1"	1.3333333333333333
いつもお客様にビールやカクテルやハンバーガを給仕します。	いつもお客様にビールやカクテルやハンバーガやハンバーガを準備します。	"1,2,2"	1.6666666666666667
いるうるさいなおばさんの同僚がそばにいますし、それに私の努力はあほみたい	いるうるさいなおばさんの同僚がそばにいますし、それに私の努力はあほみたい	"2,4,3"	3.0
バスがジェットコースターのように路面に暴走してる。	バスがジェットコースターのように路面に暴走してる。	"2,3,4"	3.0
最後に、唯一嘆きたいのは「物価、カジでたけえ！！！！」	最後に、唯一嘆きたいのは「物価、ポップコーンで来い！！！！」	"1,1,1"	1.0
深夜になって大雷で私はめが醒めました。	深夜になって大雷が鳴りました。	"1,2,1"	1.3333333333333333
私はたくさん夢がいます。	私はたくさん夢を持っています。	"4,4,4"	4.0
温度は３６Cぐらい。	気温は３６℃ぐらい。	"1,3,4"	2.6666666666666665
それに、オリエンテーションもきっちりと行われるし、今日から初めて閑暇がある感じがする。	それに、オリエンテーションもきっちりと行われるし、今日から初めて言語がある感じがする。	"1,1,1"	1.0
そうではないかもしれないが、私にとって、大きな影響をさせてくれた先生たちはずっと重要な存在である。	そうではないかもしれないが、私にとって、大きな影響を与えてくれた先生たちはずっと重要な存在である。	"4,4,4"	4.0
「楽しくない」という気持ちを持った原因は、最初からちゃんと勉強しなかったと思います。	「楽しくない」という気持ちを持った理由は、最初からちゃんと勉強しなかったからだと思います。	"4,4,2"	3.3333333333333335
この中に　一番　おいしかったとおもう。	この中に　一番　おいしかったとおもう。	"2,3,3"	2.6666666666666665
図書館からCDがみつかって貸しました。	図書館からCDがみつけてくれました。	"1,2,1"	1.3333333333333333
一回だけ友達と飲みに行った。	一回だけ友達と飲みに行った。	"4,4,4"	4.0
でも、どうして悲しい感じがします。	でも、どうしても悲しい感じがします。	"4,4,4"	4.0
試験は落ちってたっていう知らせを入った時、気が沈んでいました。	試験は落ちっていう知らせを入った時、気が沈んでいました。	"2,2,4"	2.6666666666666665
もし自分が自分の長所を認めるとしたら、ますます自慢になってしまうかもしれない。	もし自分が自分の長所を認めるとしたら、ますます自慢してしまうかもしれない。	"4,3,3"	3.3333333333333335
かわいそうけど、やってあげられることは何もないから、ただ悲しんでいましたか。	かわいそうだけど、やってあげられることは何もないから、ただ悲しんでいましたか。	"4,4,4"	4.0
明日の朝には教会で私のピアノを弾く順番だから、行かなければなりません。	明日の朝は教会で私のピアノを弾く順番だから、行かなければなりません。	"4,3,4"	3.6666666666666665
一応、したいことの中で先に,自転車を買いたいです。	一応、したいことの中で先に,自転車を買いたいです。	"4,4,4"	4.0
お母さんも正月料理を作っておきます。	お母さんも正月に料理を作っておきます。	"1,3,3"	2.3333333333333335
一般的に、金曜日晩か土曜日かイテオンと言う場所に訪問したい。	一般的に、金曜日の晩か土曜日かちびと言う場所に訪問したい。	"1,1,1"	1.0
授業の三の一の時間を経ったところで、とうとう音をはっしゅつできました。	授業の三の一の時間を経ったところで、とうとう音をはっしゅつできました。	"2,4,4"	3.3333333333333335
その中ではチュンケーキと言う料理が一番大切です。	その中でも、チュンケーキと言う料理が一番大切です。	"3,3,3"	3.0
まぁ、あの娘とデートする願いが叶ったからな...ちょっと度を越したことをやっちゃったけどｗ	まぁ、あの娘とデートする願いが叶ったからな...ちょっと度を越したことをやっちゃったけどｗ	"4,3,3"	3.3333333333333335
＾＾（社会学的に、作文が必要なので満点を取るわけがないと思いますね。）	＾＾（社会学的に、作文が必要なので満点を取るわけがないと思いますね。）	"4,4,3"	3.6666666666666665
行って多いのを経験してたいです。	行って多くの経験したいです。	"3,3,4"	3.3333333333333335
今、働いているところは喫煙室が一つあります。	今、働いているところは喫煙室が一つあります。	"4,4,4"	4.0
発音も変ですし、文法も複雑ですし、単語もいろいろな種類もあるし。	発音も変ですし、文法も複雑ですし、単語もいろいろな種類もあるし。	"3,4,4"	3.6666666666666665
